,job_name,cust_name,appear_date,job_detail,address_area,salary_min,salary_max,work_exp,major,edu,language,localLanguage,specialty,skill,other
0,國外母嬰選品 電商倉儲,慈育商行,,,,,,,,,,,,,
0,試驗工程師,財團法人台灣檢測科技研發基金會,2023/01/16,"1.負責實驗室試驗設備維護等相關工作，協助試驗前置準備作業、依照試驗標準程序表單進行試驗前中後過程之記錄工作，並將照片、錄影資料透過傳輸線上傳至電腦，試驗前開啟電腦內試驗標準程序表單檔案後列印使用，會操作Word、Excel基本功能即可。
2.機械、機工、電子、電機、自動控制、土木、建築、電腦製圖、工科類似科系或曾從事建築工地相近工作經驗者可。
3.吊掛框架或組裝後之試驗件至試驗區、實驗室環境清理維護。
4.執行主管交辦事項。
5.新進人員到職後將由本實驗室技術主管執行教育訓練。
6.提供員工午餐。
7.上班時間08:00~17:00、不須出差。
8.周休二日、休假日遵循政府行政機關辦公日曆表。
9.新進人員到職滿3個月後依學習成果與積極度情形調薪。",彰化縣,30000,32000,不拘,建築相關 機械工程相關 電機電子工程相關,高中、專科、大學,,,"Excel, Word",,
0,兼職倉儲助理,慈育商行,,,,,,,,,,,,,
0,倉儲管理,慈育商行,,,,,,,,,,,,,
0,工務人員,小美冰淇淋_樺美食品股份有限公司,2023/01/12,"1.設備維護及搶修
2.生產進度之掌握
3.機械之基本保養
4.有電力經驗或機械設備維修經驗。",彰化縣,32000,45800,不拘,機械工程相關 電機電子維護相關 汽車汽修相關,專科以上,,,PLC,"配電裝修維護, 電機設備保養修護, 電機設備操作, 機務維修保養, 機械產品故障排除檢修, 配電裝修技能",可配合加班  抗壓性高
0,業務助理,慈育商行,,,,,,,,,,,,,
0,晚班.假日班兼職櫃台人員(埤頭綜祐診所),貓頭鷹生物科技有限公司,2023/01/31,"一、櫃台掛號.櫃台批價.熟電腦操作。
二、願意多方面學習,有經驗者佳。
三、 具愛心、親切、熱忱、認真負責特質者。
四、處理一般行政事務。
五、能立即上班者優…。 
",彰化縣,176,176,不拘,,專科、大學,,,,,
0,醫務助理、門診護士,陳立凱小兒科診所,2023/02/01,"1.熟悉掛號流程,電腦及接電話禮節
2.協助門診叫號,建議醫療協助
3.協助其他護士及助理的護理工作。
",彰化縣,26500,35000,不拘,,高中、專科、大學,,,,"行政事務處理, 電話接聽與人員接待事項, 文件或資料輸入建檔處理, 健康問題之護理評估, 執行靜脈或肌肉注射相關作業, 預防保護之護理措施, 護理指導及諮詢",
