,job_name,cust_name,appear_date,job_detail,address_area,salary_min,salary_max,work_exp,major,edu,language,localLanguage,specialty,skill,other
0,IE工程師,台虹集團_台虹應用材料股份有限公司,2023/01/31,"1.針對工廠及倉儲人機料法環生產效率優化
2.專案推動改善
3.生產人力需求評估與產能摸擬
4.生產資訊分析改善：工時管理、標準化",高雄市,0,0,2年以上,工業工程相關,大學、碩士,英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,,"Excel, Outlook, PowerPoint, AutoCAD, IE工業工程","產品生產製程規劃及工時估算, 提出生產標準改良方案","1.半導體相關產業IE經歷
2.具良好溝通能力"
0,MURFEELI 包包/保養品品牌 行銷平面設計師,荷菈開發有限公司,2023/01/30,"1. 品牌視覺設計 (含平面、Banner設計、商品包裝、銷售頁面設計)
2. 行銷文案 ( 銷售頁面文案、廣告文案 )
3. 社群及廣告素材拍攝 (平面/動態)
4. 影片拍攝及製作剪輯 (軟體Premiere Pro)
5. 提案及執行行銷企劃
6. 提案及執行拍攝企劃
7. 熟悉Adobe繪圖軟體Photoshop、Illustrator、設計軟體
8. 闆娘交代事項

〔 所需條件 〕
1. 耐心細心 , 需要大量溝通 (很重要)
2. 對流行事物敏銳、了解流行時事
3. 熟悉圖片編修軟體 Photoshop , illustrator 
4. 熟悉任一影片剪輯工具 Premiere 
5. 有活動企劃能力 (加分)

應徵者請附上個人照片、自傳及作品， 
面試時需現場試操作Banner製作、文案撰寫、商品圖片編修。

[福利]
1.三節/年終獎金 
2.生日禮金
3.員工聚餐/尾牙
5.獎勵式員工旅遊
6.年度健檢
7.員購優惠
8.員工團保 ",高雄市,32000,35000,2年以上,,不拘,英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,,"Apple, Windows 7, 中文打字100~125","行銷製作物規劃與執行, 品牌行銷管理, 實體活動規劃與執行, 網路活動規劃與執行, 廣告製作規劃與執行, 行銷宣傳預算編製與控管, 行銷策略擬定, 品牌知名度推廣, 廣告預算控管, 顧客關係管理, 社群媒體經營管理, 網站流量成效追蹤, 廣告企劃案╱文案撰寫, 廣告效益評估, 廣告創意發想與提案","【經歷需求】
・具備電商社群行銷、粉絲團管理、網路社群經營 "" 實務經驗 ""
・有基本美感且對包包、保養品有興趣
・獨立作業且能跨部門協調
・能獨立與廠商、經紀人洽談"
0,顯示器先進材料業務工程師,台虹集團_台虹應用材料股份有限公司,2023/02/02,"1. 開發潛在客戶、拓展巿場，達成業績目標。
2. 拜訪客戶、負責業務接洽及訂單處理。
3. 擔任PM追蹤新產品開發進度，具溝通協調、專案管理經驗。
4. 負責產品報價及產品展示，處理帳款回收相關事宜。
5. 3年以上膜材或塗佈相關經驗。",高雄市,0,0,3年以上,工業技藝及機械學科類 商業及管理學科類 工程學科類,大學以上,英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,,"Excel, Outlook, PowerPoint, Word","業務或通路開發, 業績目標分配與績效達成, 客戶情報蒐集, 產品介紹及解說銷售, 半導體材料採購, 半導體材料穩定度分析, 半導體產業市場分析, 光電工程技術開發, 光電元件材料採購, 光電元件材料設計, 光電元件材料測試, 化學分析能力, 材料評估測試, 產品材料分析","1.面板產業或顯示器產業相關業務經驗者
2.具PM經驗
3.英文中等
4.具工程或化工背景尤佳"
0,會計文件專員(高雄),樺美塑膠企業有限公司,2023/02/04,"1. 會計人員管理財務報表。
2. 協助登記公司投資金融市場及股票產品之每季每月每股盈餘。
3. 協助登記公司投資高殖利率產業股票的規劃時間價值線形整理。
4. 協助公司投資股票財務報表文件整理，依照投資股票企業盈利能力、增長潛力財務簡易表、綜合損益表、現金流量表等等，依照情況各類投資調整。
5. 主管交辦事項。   ",高雄市,30000,32000,不拘,語文及人文學科類 商業及管理學科類 教育學科類,大學,英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,台語:略懂,Word,,"歡迎重視傳統安穩純樸、會計系、商學系、會計等相關科系，
曾從事會計事務所或喜歡一般會計工作，若對我們的工作機會有興趣，期待歡迎透過104人力銀行與我們聯絡確定面談日期。謝謝您!"
0,會計採購人員(高雄),樺美塑膠企業有限公司,2023/02/04,"1. 協助主管批閱評量塑膠尼龍上市公司股票原料價格研究分析與整理報告。
2. 投資石化股票交易規劃進行投資標的篩選。 
3. 投資組合管理、上市石化工業公司股票歷史價格走勢預測文件數據整理 。
4.金融指數研究報告整理 。
5.主管交辦事項。",高雄市,28500,31000,不拘,商業及管理學科類 語文及人文學科類 家政相關學科類,大學,英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,台語:略懂,Word,"文書處理╱排版能力, 報表彙整與管理","歡迎重視傳統安穩純樸、會計系、商學系、會計等相關科系，
曾從事會計事務所或喜歡一般會計工作，若對我們的工作機會有興趣，期待歡迎透過104人力銀行與我們聯絡確定面談日期。謝謝您!"
0,設備保修助理工程師(高雄廠),華新科技股份有限公司,2023/02/04,"01.設備機台保養維護。
02.定期保養計劃排定及執行。
03.備品定期盤點及造冊。
04.設備履歷表更新。
05.備品整修及其他工程支援。",高雄市,28000,9999999,不拘,機械工程相關 電機電子工程相關 工業技藝及機械學科類,專科、大學,英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,,,,"(1)大學畢,機械、電子、電機相關科系。
(2)可配合輪班(四班二輪-二做二休)。
(3)具有設備維修工作經驗者佳，配合度及主動學習能力佳。"
0,品質系統管理師(高雄廠),華新科技股份有限公司,2023/02/04,"(1)協助強化車用QMS品質管理，針對品質系統專案整合，以及內外部稽核系統維持。
(2)針對外部客戶稽核應對及查檢表和問卷填寫，協助GKA的系統改善，水平展開和經驗固化執行確認，執行內部稽核之建立、執行、修訂與檢討跟催。
(3)維護內部品質系統及改善，管理審查及客戶審查回饋。",高雄市,0,0,2年以上,工程學科類 工業管理相關 工業工程相關,大學、碩士,英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,,"Excel, Outlook, PowerPoint, Word",,"1. 具品質系統經驗尤佳。
2. 具電子業品質系統稽核及管理工作經驗二年以上，溝通協調能力佳。"
0,【承億酒店】訂房專員 Reservation Agent,承億酒店股份有限公司,2023/02/04,"1.按照標準流程(SOP)處理客房的預訂和促銷專案諮詢
2.回覆訂房電子郵件與訂單
3.追蹤訂房單與確認訂房作業
4.訂房系統操作與訂房報表製作
5.監控預訂情況並向訂房中心經理更新目前和未來的住房率
6.檢查隔日的抵店報告以確保客房之安排
7.具英、日語能力者佳 
",高雄市,30000,36000,不拘,,高中以上,"英文:聽 /精通、說 /精通、讀 /精通、寫 /精通, 日文:聽 /中等、說 /中等、讀 /中等、寫 /中等",,,"行政事務處理, 電話接聽與人員接待事項, 產品介紹及解說銷售",
0,廠務工程師(高雄廠),華新科技股份有限公司,2023/02/04,"(1)廠務公共設施之維修保養及緊急狀況處理
(2)電力系統規劃、空調、CDA、純水等系統維修保養",高雄市,30000,9999999,3年以上,電機電子工程相關 冷凍空調相關,專科、大學,英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,,,,1.具廠務相關工作經驗者佳
0,環安工程師(高雄廠),華新科技股份有限公司,2023/02/04,"1.環保許可證申辦業務與撰寫
2.環保定期申報資料彙整與分析
3.防制設備操作條件優化及管理
4.防制設備巡檢及異常回饋
5.環保專責人員執掌事項
6.職安、消防業務協助",高雄市,35000,9999999,不拘,環境工程相關 公共衛生相關,大學、碩士,英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,,"Excel, Word",,需具備甲級廢水專責人員、甲級廢棄物專責人員證照
0,計劃工程師(高雄廠),華新科技股份有限公司,2023/02/04,"1.計畫投產與產能規劃管理 & 全球庫存配貨管理 
2.倉儲進出與作業管理及品質管控
3.包裝&出貨管理作業管理 
4.流程改善&ISO文件標準化與建立
5.成本分析
6.人員管理與訓練",高雄市,30000,9999999,2年以上,工業管理相關 工業工程相關,大學、碩士,英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,,"Excel, PowerPoint, Word",,"(1)大學以上，工業工程管理相關系所畢。
(2)具2年以上生產或生管或倉儲相關工作經驗。
(3)熟悉Excel巨集函數應用。
(4)熟SAP系統尤佳。"
0,廠務助理工程師(高雄廠),華新科技股份有限公司,2023/02/04,"(1)廠務公共設施之維修保養及緊急狀況處理
(2)電力系統規劃、空調、CDA、純水等系統維修保養",高雄市,28000,9999999,不拘,電機電子工程相關 冷凍空調相關 工業技藝及機械學科類,專科、大學,英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,,,,"(1)具廠務相關工作經驗者佳,配合度及主動學習能力佳
(2)可配合輪班(四班二輪-二做二休)"
0,內勤助理 / 儲備幹部,歐亞新有限公司,2023/02/04,"你離開校園初來乍到, 對未來職涯的方向還懵懵懂懂, 但又想多方探索找到自己的定位嗎? 
沒有太多國際經驗, 但又對這個世界充滿好奇嗎? 你也很關心環境的議題, 對於未來地球如何餵養越來越多的人口感到憂心嗎? 

我們是一個結合電子, 資通訊, AI, 水產養殖和專業財務背景的跨國團隊. 核心業務在台灣的我們有著海洋子民開拓冒險的精神, 在環境和食物供給議題越來越被重視的現今, 和國內外一樣關心此類議題的夥伴攜手共同前進, 希望能對這個世界有所貢獻!

這個職位也許聽起來很普通, 但你也會是這份貢獻中一道不可忽視的力量!

沒有相關經驗? 不用擔心, 只要您帶著願意學習的心和工作熱忱, 我們願意手把手傳授know-how, 和你共同成長!  

我們需要你 : 
零用金/發票管理
應收/付帳款作業
支援財務長的初階財務作業
國內外的採購作業
庶務事務用品採購發放
文書製作和管理
資料庫的日常管理
其他主管所交辦的行政和庶務等支援性質的後勤工作

加分項 :
- 有電子零件經驗者佳
- 闇美工設計者佳
- 闇行銷文字影片者佳
- 農漁業相關經驗",高雄市,28000,9999999,不拘,,高中、專科、大學、碩士,英文:聽 /中等、說 /中等、讀 /略懂、寫 /略懂,,"Excel, PowerPoint, Word","文件收發與檔案管理, 文書處理╱排版能力, 行政事務處理, 電話接聽與人員接待事項, 文件或資料輸入建檔處理, 零用金管理, 供應商尋找及評選執行, 採購及維護事務機器及家電用品, 採購並維護辦公事物及庶務用品, 結帳作業與帳務處理, 出口貨物報關, 熟悉進出口業務, 國際貿易基本概念, 商品進貨入庫作業, 安排出貨管理及統計",
0,職業安全衛生管理員(高雄廠),華新科技股份有限公司,2023/02/04,"1.負責職業安全衛生系統管理相關業務。
2.定期消防安檢相關事宜。
3.執行安全衛生督導及稽核。
4.緊急事故處理及危害預防。
5.辨理緊急應變演練。
6.其他主管交辦事項。",高雄市,33000,9999999,1年以上,公共衛生相關 環境工程相關,大學、碩士,英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,,"Excel, Word",,職業安全衛生管理員-相關工作經驗1年以上尤佳。
0,輪班維修助理工程師(高雄廠),華新科技股份有限公司,2023/02/04,負責設備維修保養及修護,高雄市,28000,9999999,不拘,機械工程相關,專科、大學,英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,,"Excel, PowerPoint, Word, AutoCAD",,"具相關工作經驗者佳,可配合輪班"
0,維修工程師,大灃科技股份有限公司,2023/02/04,"1. 負責板類維修、分析故障產品，以確保品質無虞。
2. 負責製作與維護治工具，確保治工具可供生產使用需求。
3. 負責設備維護保養管理程序，並定期保養製程設備，確保設備可供生產需求。
",高雄市,30000,33000,1年以上,電機電子工程相關 機械工程相關 其他工程相關,專科、大學,英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,台語:中等,"Excel, Outlook, PowerPoint, Visio, Word","測量儀器之檢驗與校正, 電子產品系統測試, 電子設備操作簡修, 電子儀表工具使用, 電機設備保養修護","1. 熟電烙鐵，識電路圖
2. 具電子、電機相關經驗尤佳
3. 具良好溝通協調能力"
