,job_name,cust_name,appear_date,job_detail,address_area,salary_min,salary_max,work_exp,major,edu,language,localLanguage,specialty,skill,other
0,訂單客服助理,完美主義居家_千力勝國際有限公司,2023/02/04,"1.ERP電商平台訂單查詢 建立客戶會員資料。
2.各大電商平台協助客戶進行貨物追蹤 與相關貨運聯繫追蹤完成
3.退換貨協助 建立表單 
4.網路購物電話客服及留言、信件回覆
5.客訴情緒處理有耐心且自我調整   打字速度須要求效率.問題迅速解答",台中市,27000,30000,2年以上,,高中以上,,,Excel,,
0,電商發貨理貨人員,卡仕科技有限公司,2023/02/04,"1.每日包貨，出貨
2.貨品進倉進行盤點，入倉，歸位
3.退貨整理
4. 貨品盤點、倉庫清潔維持，
5. 主管交辦事項
",台中市,30000,36000,不拘,,不拘,,,,,
0,生產部 副理,科森複合材料股份有限公司,2023/02/04,"1.統籌生產部各項工作工作進度。
2.負責生產製程管制與調配。
3.控管廠內之生產排程.交期及產量。
4.管控生產品質與生產人、工、料管制。
5.簡化流程，降低勞動成本。
6.規劃並執行生產製程管理系統的改善，導入與執行。
7.編寫部門年度預算.控制生產成本。
8.客訴產品相關生產問題處理及改善。
9.確實執行生產目標,並達成各項生產KPI指標。
",台中市,0,0,3年以上,材料工程相關 化學工程相關 機械工程相關,大學,,,,,
0,IE專員,閎博科技有限公司,2023/02/03,"1.具備成本核算及工時量測專業技能
2.對廠房layout及動線量測(PERT)有經驗者
3.能讀寫英文,可口語溝通者佳
4.有供應商(鏈)管理經驗者佳
5.有生/物管經驗者佳
6.工廠IE / 稽核室或總經理室IE專員三年以上經驗
7.需懂Vision 等專案管理",台中市,0,0,3年以上,機械工程相關 工業設計相關 其他工程相關,大學,英文:聽 /中等、說 /中等、讀 /精通、寫 /精通,,"Excel, Outlook, PowerPoint, Word","專案溝通╱整合管理, 產品生產製程規劃及工時估算","
"
0,【台中神岡】售後服務人員/助理,呼呼睡美夢股份有限公司,2023/02/03,"1.負責商品解說
2.售後服務
3.會美編設計最佳
4.網購電商平台上下架、退換貨處理、庫存管理 、優化更新、活動設定等
5.每日訂單出貨執行。
6.網購電商對帳資料彙整、數據統整。",台中市,26400,9999999,不拘,,專科,,,"Excel, Word",,"週休二日
"
0,程式設計/系統開發工程師,銀泰科技股份有限公司,2023/02/02,"具備以下任一經驗:
1.JDE E1, Oracle/SAP ERP or MES相關程式設計開發
2.Microsoft .Net/Java/JavaScript/C/C++/C#程式設計開發
3.Workflow電子表單設計開發
4.IoT相關系統開發",台中市,35000,50000,1年以上,資訊管理相關 資訊工程相關 其他數學及電算機科學相關,大學、碩士,英文:聽 /略懂、說 /略懂、讀 /中等、寫 /中等,,"C#, Java, PHP, Visual Studio .net, MS SQL, Oracle, JavaScript","系統整合分析, 軟體程式設計, 資料庫程式設計, MES工廠執行系統規劃管理, 企業資源規劃管理(ERP)","具JDE E1/ERP/MES相關程式程式設計開發經驗
具Microsoft .Net/Java/Javascript/C/C#或其他程式語言設計開發經驗.
具ERP或財務系統模組使用經驗者佳
具程式設計開發經驗
或具備workflow開發設計/應用系統管理經驗
或具備Windows/Linux Server作業系統概念管理能力或經驗
或具備Oracle/SQL server資料庫系統概念"
0,YO.神岡時薪176/固定早班無需輪班/輕鬆顧機台/簡單上手包裝.S77,首誠人力資源有限公司,2023/02/02,"早班：07:50～17:10（民族廠）
早班：07:55～16:10（社口廠）
休息時間：中午一小時
薪資：176/H
工作獎金：1000/月（出勤須滿21天才可領取）
休假制度：周休二日（平假日需配合加班）
工作地點：
台中市神岡區社南街（社口廠）
台中市神岡區昌平路（民族廠）
工作內容：
顧塑膠射出機台、品質檢驗（社口廠）
組裝包裝（民族廠）

✔站立式作業
✔需配合加班
✔需二次面試
✔需穿半套無塵服

特別要求：
✅需打滿兩劑疫苗

福利：勞保、健保、團保、勞退6%、免費供餐

了解職缺請+line：@395mgzzn (快速回復+快速安排面試)
網址快速+好友 https://lin.ee/2gZdtLy
快速找工作：0958270492 阿又

",台中市,176,9999999,不拘,,不拘,,,,,
0,現場作業員/幹部,百加達科技有限公司,2023/02/01,"1. 進行製造現場的產品組裝、檢驗、包裝出貨等作業。
2. 完成主管交辦有關生產產品、程序事宜。
",台中市,28000,30000,1年以上,,不拘,,台語:中等,,貨品包裝作業,有經驗者佳
0,會計助理,百加達科技有限公司,2023/02/01,"1.各項費用支付之發票、單據及帳務處理。
2.處理廠商貨款或費用等應付款項帳務。
3.處理客戶應收款項帳務。
4.處理其他一般會計帳務。
5.負責一般文書資料處理及歸檔工作。
6.辦理核銷事宜。
7.協助處理庶務性行政工作（如：事務機器叫修維護、文具用品採買）。
8.收發公文並處理會簽文件。
9.負責簡單零用金管理。",台中市,27000,30000,不拘,,不拘,,台語:中等,"Excel, Word, 中文打字50~75",,具經驗者佳
0,CNC車床學徒,昱輝精密有限公司,2023/02/01,"1.負責機台操作進行加工與製造
上下料。

2.工件量測尺寸確認

3.機器設備保養與維護

4.適時應工作需求,配合加班

5.願與公司一同成長者,完成主管交辦事項

基本需求：

數學：加，減，乘，除，小數點10進位要會

打零工，渡時間心態者請勿試",台中市,30000,30000,不拘,,不拘,,,,,
0,採購助理,百加達科技有限公司,2023/02/01,"1.採購單查詢及下單的工作。
2.整理、核對、及輸入進貨帳單。
3.協助核對庫存的貨物數量與紀錄是否相符。
4.詢價及議價, 定期更新供應商資料。",台中市,27000,30000,1年以上,,專科以上,,台語:略懂,"Excel, Outlook, Word, 中文打字50~75",,
0,工務專員,新廣業股份有限公司,2023/02/01,"1.廠房機械設備維修、保養、改善。
2.機械設備緊急維修保養、運轉測試。
3. 機械設備月/年度定檢維修保養。
4. 廠房內相關機械及電子設施查修及維護。
5.水電修繕
",台中市,40000,45000,2年以上,電機電子工程相關 機械工程相關 電機電子維護相關,大學,,,,"工程協調與問題處理, 工程施工監督管理, 工程估驗與計價",
0,作業員,煜昕科技有限公司,2023/02/01,"1. 小型電子零件焊接、線上產品包裝、電子設備組裝。

2. 主管交辦事項。


工作穩定，週休二日，精進技術，快樂工作，歡迎願意學習的你加入～ ",台中市,26400,9999999,不拘,,高中以下、高中、專科、大學,,,,,"偶爾需配合加班
歡迎所有求職者

休假制度： 固定休六、日
"
0,CNC車床技師,昱輝精密有限公司,2023/02/01,"1.負責機台操作進行加工與製造，程式設定，機台設定，上下料。
2.具程式撰寫能力. 識機械圖
3.負責工件量測,協助製程改善與品質
4.工件量測尺寸確認,與刀具補正更換
5.機器設備保養與維護
6.適時應工作需求,配合加班
7.願與公司一同成長者,完成主管交辦事項
8.薪資3萬8~5萬，視經驗能力程度敘薪

基本需求：
數學：加，減，乘，除，小數點10進位要會
打零工，渡時間心態者請勿試",台中市,38000,50000,3年以上,,不拘,,,,,
0,CNC車床半技師,昱輝精密有限公司,2023/02/01,"1.負責機台操作進行加工與製造，程式設定，機台設定，上下料。
2.具程式撰寫能力. 識機械圖
3.負責工件量測,協助製程改善與品質
4.工件量測尺寸確認,與刀具補正更換
5.機器設備保養與維護
6.適時應工作需求,配合加班
7.願與公司一同成長者,完成主管交辦事項
8.薪資3萬3~3萬6，視經驗能力敘薪

基本需求：
數學：加，減，乘，除，小數點10進位要會
打零工，渡時間心態者請勿試",台中市,33000,36000,1年以上,,不拘,,,,,
0,程式軟體工程師,煜昕科技有限公司,2023/02/01,"1.協助處理程式軟體修正設計，機台測試等工作。  

 

2.熟程式C/C++ C# / JAVA / ANDROID / IOS及WINDOWS作業系統佳。  

 

3.有經驗者佳

發展/遠景：
本公司工作內容從機械,電子,電機,到自動控制等,領域寬廣,工作內容多樣,學習機會眾多;近來極力發展工業4.0設備監控技術,是未來工業發展重心,前途光明無量

成就/樂趣：
進技術,工作穩定,週休二日,快樂工作",台中市,26400,9999999,不拘,機械工程相關 工業工程相關 工程學科類,專科以上,,台語:中等,,,歡迎一般求職者、應屆畢業生…等
0,高薪 可日領 有底薪 (台中神岡)市場銷售人員_意者電洽0968-038-012 鄧總 預約面試,天果科技農業有限公司,2023/01/31,"挑戰高薪.無經驗可.一人攤可.簡單易學 

盡速撥打0968-038-012 鄧總 

工作內容:市場攤位販售水果 二度就業可 

工作時間:05:00~15:00前(排休) 

福利待遇:福利面議/享底薪加高獎金/年終/三節禮金 

*有提供教育訓練 

*歡迎新鮮人挑戰高薪",台中市,35000,50000,不拘,,不拘,,,,,"歡迎所有求職者

休假制度： 排休"
0,財務經理,建宇國際塑膠有限公司,2023/01/31,"1、熟悉會計制度 
2、規劃及檢討公司會計流程，以符合財會及稅務之規定
3、定期核閱財務報表，並針對異常項目進行分析檢討
4、分析改善各營運單位之營運結果、預算執行績效報告


",台中市,0,0,不拘,,大學以上,,,,,
0,生管經理,建宇國際塑膠有限公司,2023/01/31,"1.生管部門產線和人員監督
2.改善生產製程及製程品質，現場問題排除及改善
3.執行部門教育訓練，SOP及ISO文件稽核
4.稽核生產計劃和產線達交率，達成公司產能目標。 ",台中市,0,0,不拘,,大學、碩士,,,,,
0,設備工程師,科森複合材料股份有限公司,2023/01/31,"1.生產相關設備維護及保養執行紀錄維護、年度設備保養計畫執行
2.生產設備異常的緊急處理及防範
3.設備維修保養改善檢討及狀況追蹤
4.ISO設備操作SOP，保養規範撰寫及修訂
5.配合工程進度規劃執行，督導協助
6.上級交辦事項執行

",台中市,0,0,3年以上,電機電子工程相關 機械工程相關,大學,,,"Excel, Word, 中文打字50~75, 英文打字20~50, AutoCAD",,
0,宅配司機《豐原營業所》,台灣宅配通股份有限公司,2023/01/31,"【限時活動】
如您無職業小型車駕照，現正舉辦駕訓補助活動，最高補助100%。讓您職能與薪資UP~UP~ 活動詳情請洽面試主管。

【職務特色】
★配送、取件享運費抽成，送越多賺越多。
★猛獸級收入，要賺多少自己衝，底薪+運費抽成最高上限10萬元。
★當月達配送件數門檻，享高額保障薪。
★不需銷售，無業績壓力。
★宅配100％由內部訓練內部晉升。

【職務內容】
(1).負責宅配貨品收件、送件服務
(2).宅配貨物分理貨
(3).宅配代收貨款服務

",台中市,32000,85000,不拘,,高中、專科、大學,,,,,
0,財務顧問,建宇國際塑膠有限公司,2023/01/31,"1、熟悉會計制度 
2、規劃及檢討公司會計流程，以符合財會及稅務之規定
3、定期核閱財務報表，並針對異常項目進行分析檢討
4、分析改善各營運單位之營運結果、預算執行績效報告


",台中市,0,0,不拘,,大學以上,,,,,
0,廠務副理,建宇國際塑膠有限公司,2023/01/31,"1.廠務管理 (新廠區管理，各廠生產協調）
2.工廠管理 (各項政策之推動，規劃執行ISO22000&HACCP)
3.人員管理 (招募、教育訓練、KPI績效評核、勞工關係協調）
4.產線管理 (協助開模追蹤和改善相關事宜)",台中市,0,0,10年以上,,大學、碩士,,,,,
0,生管人員,科森複合材料股份有限公司,2023/01/31,"1.根據訂單或業務提供之預估需求制訂、管制生產計劃
2.在製品及未結工單控管與相關文書作業及檔案管理
3.託外作業管理
4.生產產值、出貨數量及相關生產數據統計分析
5.配合組織規劃及業務需求調度職務
6.其他主管交辦事項",台中市,35000,42000,2年以上,,專科、大學,,,"Excel, Outlook, Word, 鼎新","開立工單及生產交期管理, 負責生產製程管制與調配",熟悉office、outlook、熟悉鼎新ERP作業(生管)系統、流程及管理報表、託外流程作業、庫純管理、對數字具敏銳度、合群並擅溝通，了解資材日常運作等尤佳。
0,(台中)傳統市場/銷售蛋糕 意者電洽0968 038012 鄧總 預約面試,天果科技農業有限公司,2023/01/31,"1.市場攤位-販售蛋糕 西點 

2.福利面議/經驗不拘/二度就業可 

3.底薪+高額獎金/一人攤可/無經驗可 

4.年終/三節禮金/享勞健保 

*有提供教育訓練 

*歡迎新鮮人、應屆畢業生挑戰高薪",台中市,35000,9999999,不拘,,高中,,,,,"歡迎一般求職者、外籍人士、應屆畢業生…等

休假制度： 排休

有公務車/若自備車(有油資補貼)"
0,數位行銷人員,天果科技農業有限公司,2023/01/31,"1. 市場需求蒐集、數據分析規劃與實作。 

2. 網路流量追蹤與分析。 

3. 數位廣告投放操作及優化，代理商和供應商等合作夥伴維繫（含Facebook、Google、關鍵字…等）。 

4. 規劃與執行數位企劃、管理數位內容資產。 

5. 保持高度熱誠知道新技術、熱門軟體、需有好邏輯思維、熱忱主動學習。 

6. 品牌、課程、活動公關策略制定、操作、執行 

 

***可附上作品集,薪資再依能力洽談***",台中市,30000,9999999,不拘,,高中、專科、大學,,,,,"歡迎所有求職者

休假制度： 週休二日、排休、輪休"
0,工廠主管,建宇國際塑膠有限公司,2023/01/31,"1.廠務管理 (新廠區管理，各廠生產協調）
2.工廠管理 (各項政策之推動，規劃執行ISO22000&HACCP)
3.人員管理 (招募、教育訓練、KPI績效評核、勞工關係協調）
4.產線管理 (協助開模追蹤和改善相關事宜)",台中市,0,0,10年以上,,大學、碩士,,,,"部門人力成本控制, 生產成本控制, 提昇設備產能稼動率與生產效率",
0,生管課長,建宇國際塑膠有限公司,2023/01/31,"1. 規劃生產排程，擬定生產計畫
2. 與廠商客戶業務協調到料和交期
3. 預估訂單，控制安全庫存量
3. 生產人員管理，生產線各事務之處理與監督
4. 生產區5S",台中市,38000,45000,5年以上,,專科、大學、碩士,,,,,"
"
0,晚班時薪理貨人員(豐原所),台灣宅配通股份有限公司,2023/01/31,"1.協助營業站所分理貨件、貨件堆疊、上下貨。
2.宅配單據掃單/補印
3.查詢/整理宅配貨件
4.其他主管交辦事宜
",台中市,176,180,不拘,,高中、專科、大學,,,,,
0,人資主管,天果科技農業有限公司,2023/01/31,"1. 協助公司主管處理工作上交辦的事務
2. 協助主管計劃和指揮人員相關的訓練，績效的評估
3. 建立完整的公司人事管理規章與召募任用制度，提升企業招募優秀人才的優勢、辦法制定，如:部門招募、員工請假、退休等
4. 分析人力結構，降低企業非必要之成本支出
5. 定期記錄並核對公司總分類帳
6. 營業稅申報作業及調節表、各類所得扣繳申報作業及配合國稅局等主管機關來函處理",台中市,32000,9999999,5年以上,綜合教育相關,高中以上,,,"Excel, Word",,
0,經營管理主管,天果科技農業有限公司,2023/01/31,,台中市,400000,400000,10年以上,綜合教育相關 經濟學相關 一般數學相關,專科、大學、碩士,英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,台語:略懂,,,
0,西點師傅,天果科技農業有限公司,2023/01/31,"1.排定工作作業程序。 

2.具烘焙、甜點製作有實務經驗及知識。  

3.計算各種原料配方之用量及設定適當製作流程。
  
4.執行煮餡、烤焙、分裝等工作。  

5.維護廚房環境清潔與設備保養。 

6.協助指導同仁學習新崗位。 

7.研發新品及成本計算

8.完成主管交辦事宜並確實執行。",台中市,36000,36000,不拘,,高中以上,,,,,"歡迎一般求職者、日間就學中、夜間就學中…等

休假制度： 排休"
0,國內業務專員,建宇國際塑膠有限公司,2023/01/31,"拓展國內業務開發工作。
客戶接洽及訂單處理。
拜訪經銷客戶，維繫穩定客戶關係。
協助確認產品規格、安排打樣、供樣、處理詢價、報價等事宜。

",台中市,0,0,3年以上,,高中、專科、大學、碩士,,,,,
0,國外業務專員,建宇國際塑膠有限公司,2023/01/31,"國外客戶開發和維持，接待來訪國外客戶
產品報價打樣，交期跟催及國外出貨安排事宜
公司外文網站維護
個性積極樂觀，能獨立作業，完成主管交辦事項",台中市,0,0,3年以上,,大學、碩士,英文:聽 /精通、說 /精通、讀 /精通、寫 /精通,,,,
0,電商與傳統通路行銷開發人員(神岡區09:00-18:00),全亞發國際貿易有限公司,2023/01/31,"1. 熟悉網路通路/量販店/機關團體...等通路洽談。
2. 有企圖心、熱情、喜歡與人互動、做事細心。
3. 需協助行政作業、必要時須支援外場。
4. 需跨部門溝通協調、完成主管交代事項。
5. 有一年以上相關經驗。",台中市,28000,30000,1年以上,,不拘,,,"Excel, Word","網路活動規劃與執行, 廣告企劃案╱文案撰寫, 業務或通路開發, 產品介紹及解說銷售",
0,設備維修/生技人員,久鐵工業股份有限公司,2023/01/31,"有廠務、設備管理、製程問題解析、生產技術提升經驗者佳。
有PLC  電子經驗尤佳。",台中市,28000,30000,不拘,機械工程相關 其他工程相關 工業工程相關,專科以上,,,,,半年以上工作經驗
0,壓空成型機台技師,建宇國際塑膠有限公司,2023/01/31,"負責操作壓空自動成型機台
具塑膠真空成型或壓空成型機台經驗者佳 《有承美機台經驗者優先錄取》",台中市,0,0,不拘,,高中以下、高中、專科、大學,,,,,會開堆高機
0,塑膠壓板機台技師,建宇國際塑膠有限公司,2023/01/31,"負責操作塑膠板材押板機台 
PET PLA 板材押出
《具真空成型經驗優先錄取》",台中市,0,0,不拘,,高中以下、高中、專科、大學,,,,,
0,西點2手、3手,天果科技農業有限公司,2023/01/31,"1.製作蛋糕捲、甜點及其他西式點心 

2.負責處理各種食材，完成前置工作。 

3.用各種方式，如添加奶油、水果等夾心，或使用糖霜裝飾蛋糕、麵包或西點之表面 

4.所需材料之檢視與選用。 

5.香料或食品添加物之調配。 

6.支援現場工作、品質掌控及製作流程管理。 

7.對烘焙及甜點製作有熱忱。 

8.主管交辦事項完成。
",台中市,27000,9999999,不拘,,高中以上,,,,,"歡迎一般求職者、日間就學中、夜間就學中…等

休假制度： 排休"
0,主管助理,天果科技農業有限公司,2023/01/31,"1. 執行主管所交代的命令及專案
2. 處理與主管相關的行政事務，例如:負責公共關係事務、跨公司及部門工作協調、協助專案計劃評估及執行與追蹤、主管會議記錄執行追蹤、董事長及主管交辦事務處理、協助部門預算編列
3. 擔任部門之間或主管間的橋樑，專案的承接
4. 協助公司主管處理工作上交辦的事務
5. 協助主管計劃和指揮人員相關的訓練，績效的評估
6. 專案開設與管理
7. 會議紀錄追蹤",台中市,28000,9999999,5年以上,,專科以上,英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,,"Excel, PowerPoint, Word, 中文打字50~75","內稽內控制度設計、執行、考核, 核閱財務報表, 稅務規劃與稅報╱納稅事項, 結帳作業與帳務處理",
0,機車宅配司機《豐原營業所》,台灣宅配通股份有限公司,2023/01/31,"【職務特色】
★件件享運費抽成，送越多賺越多。
★不需銷售，無業績壓力。
★會騎摩托車即可輕鬆上手。
★宅配需求持續成長，裁員風險低。

【職務內容】
1.負責宅配小型貨品.文件收送服務
2.宅配貨物分理貨
3.宅配代收貨款服務
4.需具備普通重型機車駕照
",台中市,26400,39000,不拘,,高中、專科、大學,,,,,
0,Amazon電商專員,十方商業股份有限公司,2023/01/30,"1. 熟悉Amazon電商平台的系統操作 ( 上架Listing/ 出貨/ 投放廣告/ 廣告數據分析與調整 / 開case) 。 
2. 庫存管控。
3. 與物流商連絡接洽。
4. Listing 與關鍵字的優化。
5. 新品的市場調查。
6. 定期的數據分析。
7. 處理下單給供應商的事宜。
8. 完成主管交辦事項。 ",台中市,38000,50000,1年以上,國際貿易相關 英美語文相關,專科以上,英文:聽 /精通、說 /精通、讀 /精通、寫 /精通,,"Excel, Outlook, PowerPoint, Word",,"1.熟悉Amazon電商平台的系統操作1年以上相關經驗者佳。
2.熟悉Excel的樞紐分析或其他分析工具者佳。 "
0,電子組立技術士,精呈科技股份有限公司,2023/01/30,"1.機台電源箱組立。
2.機台配線。
3.配線電子零件、機械零件組裝。
4.歡迎具熱忱、責任感，細心，耐心者，公司願培養具潛力人才。",台中市,33800,39800,1年以上,電機電子工程相關 機械工程相關,高中、專科、大學、碩士,,,,"組合裝配機件及安裝與校驗機械, 原料及產品品質管制監控",
0,行政會計,名揚機械股份有限公司,2023/01/30,"1. 負責文書資料處理工作。
2. 維護、更新、管理各類文件檔案（如：合約、會議記錄、書目資料、出貨文件等）和資料庫系統。
3. 判斷、分類並分送(電子)郵件，回覆郵件，並整理待寄送的郵件。
4. 協助處理庶務性行政工作（如：事務機器叫修維護、文具用品採買、拜拜等）。
5. 負責簡單零用金管理，並負責前往銀行進行提存交易。
6. 負責文具用品之請領。
7. 整理應收. 應付及其他例行支付款項等相關帳款。
8. 辦理銀行現金匯款、轉帳作業。
9. 薪資結算。
10. 帳冊記錄及憑證之登載、核算及保管。
11. 當有財報需要，備妥查帳準備資料。
12. 定期編製帳務報表及其他財務分析資料。
13. 負責外出送件、物件寄送。
14. 處理主管交辦事項。
15. 具有基本英文讀寫能力及基本國貿概念且處理過進出口經驗者佳。",台中市,30000,9999999,3年以上,,高中、專科、大學,英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,台語:略懂,"Windows 10, Excel, Outlook, Word, 中文打字20~50, 鼎新","行政事務處理, 電話接聽與人員接待事項, 文件或資料輸入建檔處理, 零用金管理, 代辦會計相關事項, 結帳作業與帳務處理, 出口貨物報關, 熟悉進出口業務, 國際貿易基本概念, 客戶資料更新維護",
0,作業員 (無經驗可),日堡全球精密科技股份有限公司,2023/01/30,"1. 負責生產線機器、設備之操作，並維持機台正常運作。
2. 進行製造現場的產品組裝、檢驗、包裝出貨等作業。
3. 與其他作業員進行協調，以符合生產及程序標準。
4. 填寫生產報表，以檢視與生產目標的距離。
5. 完成主管交辦有關生產產品、程序事宜。",台中市,26400,35000,不拘,,不拘,,,,,"依學經歷及現況需求分配生產站別     
生產線組站:壓鑄/拋光/電鍍/出色/成品/全檢/噴漆包裝"
