,job_name,cust_name,appear_date,job_detail,address_area,salary_min,salary_max,work_exp,major,edu,language,localLanguage,specialty,skill,other
0,71.門市營業人員(台南市學甲區),大同綜合訊電股份有限公司,2023/01/31,"1. 介紹及銷售家電商品
2. 顧客接待與諮詢服務 
3. 門市商品陳列設計
4. 配合門市營業時間排班排休
※儲備期間為固定薪，待正式派任後，薪資為變動薪(依業績表現)",台南市,28000,40000,1年以上,,高中、專科、大學,,,,,歡迎二度就業
0,物流倉庫人員,寶榮開發企業股份有限公司,2023/01/30,"1.電商產品庫存管理
2.倉庫撿貨以及理貨
3.電商平台拉單作業
4.主管交辦事項
5.有堆高機相關證照者尤佳(無經驗者可培訓)",台南市,28300,29800,不拘,,專科、大學,,,,"庫存管理規劃作業, 貨品包裝作業, 理貨╱揀貨╱補貨作業",
0,採購專員(台南分公司),誠新綠能股份有限公司,2023/01/30,"／工作地點
台南市學甲分公司

／職務說明
1. 制定採購流程及相關作業表單，供同仁依循提出採購需求
2. 根據物品的庫存量及過去使用量，決定是否訂購
3. 根據需求人員提出之需求進行採購
4. 供應商維護及管理、維持供應商關係
5. 供應商蒐集，找尋品質好、成本低、配合度高之供應商提供需求人員選擇
6. 提供緊急措施，使需求人員可做緊急採購
7. 處理貨品遺失及延遲等問題
PS:三年以上採購經驗熟營建業或電子業產業文化尤佳 

／條件要求
熟悉工程採購流程尤佳

／工作技能
具備基本電腦軟體操作及Word、PPT、EXCEL文書作業能力

／薪資說明
月薪30,000~42,000

將依已累積的專業工作能力以及對徵聘的工作職位契合度評估薪資，煩請告知預期薪資，倘若認為自己能力超出公告上限，也歡迎提出。",台南市,30000,42000,1年以上,企業管理相關 土木工程相關 建築相關,大學、碩士,,,"Excel, PowerPoint, Project, Visio, Word","採購談判與議價技巧, 專案採購管理, 商品採購作業, 採購對帳作業",
0,【大樹藥局】月薪30K起__門市人員-台南市學甲區,大樹連鎖藥局_大樹醫藥股份有限公司,2023/01/30,"***【 歡迎無經驗具服務熱誠的你！月薪30,000起 】***

富有服務熱忱，熱衷於與顧客交談。
喜歡團隊合作，建立家人般的情感。
願意積極學習，提升自我專業知識。
願意擁抱變化，歡迎挑戰高額獎金。

大樹要的就是您！！

門市顧客服務－學習感動式互動
商品推薦銷售－學習專業式衛教
店務庫存管理－學習系統化作業

大樹的舞台，您值得擁有！！

＊重視您的職涯發展－多元發展的升遷制度
＊與您一起共享成長－開放員工認股計畫
＊在乎您的未來－完整的教育訓練課程
＊看見您的努力－優渥的薪酬獎勵（獎金另計）
＊無需經驗，如有經驗，待遇更優！
＊不限科系，相關證照（美容、門市服務…等），另有加給！
＊挑戰自己，超越自己，相信自己！

大樹準備好了，您準備好了嗎？
與大樹攜手同行，佈局您的美好人生",台南市,30000,9999999,不拘,,高中、專科、大學,,,,,"1個性親切、熱誠且願接受挑戰、長期培訓者。
2.具門市、美容、彩妝、銷售等相關經驗尤佳。"
0,【大樹藥局】月薪60K起__藥師－台南市學甲區,大樹連鎖藥局_大樹醫藥股份有限公司,2023/01/30,"***【 無經驗可！月薪60,000起 （獎金另計）】*** 

1.完整化的藥局PGY訓練，快速熟練調劑、申報、諮詢等專業技能
2.專業化門市客服教學及銷售訓練，簡易學習經營管理
3.系統化店務管理及訓練，輕鬆掌握店內各項數據

【 多元的藥師職涯規劃 】
經營學習管理EMBA：擔任公司要職，分紅入股當股東
邁向藥師的老闆夢：輕鬆一圓夢想，創業加盟當店東

實踐自我價值，讓藥師不再只是調劑
享受財富自由，讓理想不再只是空想

集眾之智，創眾之制
集眾之利，創眾之利
與大樹攜手同行，佈局您的美好人生

●休假方式符合生理作息不疲累●
月休8-13天，分組輪休，彈性調整，享受生活不疲累

~藥師的舞臺在大樹~
來大樹，到職1至2年快速接軌藥局店主管職
來大樹，發揮您過往工作經驗讓您成為下一位主管接班人。
來大樹，升任店主管後挑戰多元門市經營管理。
來大樹，與您一起共享成長，開放員工認股計畫
來大樹，提供公平的晉升機會及多元升遷管道。

~~誠摯的邀請您加入我們的團隊共同成長，迎向幸福，共創未來!!~~",台南市,60000,9999999,不拘,,專科以上,,,,,"＊歡迎有藥妝／藥局經驗者
＊歡迎有擔任過專櫃／各類門市銷售／賣場管理者"
0,元大領航計劃-理財業務菁英(學甲分公司),元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),2023/01/30,"工作內容 : 受託買賣上市、上櫃有價證券、期貨交易輔助業務及法令核准之金融商品交易等業務。

廣納證券同業菁英 & 金融從業新鮮人",台南市,26400,40000,不拘,,專科、大學、碩士,,,,,**薪資將視工作(專案)經驗、具備證照資格及語文能力等差異化核定**
0,久井學甲站中班大夜人員,久井加油站_久井企業股份有限公司,2023/01/28,"1.輸入加油員
1.詢問顧客所需油種及需求量和付款方式後注入汽油、柴油於顧客的車輛油箱。並收取油費或處理信用卡付款程序。
2.進行會計出納對帳。
3.結帳。
4.必要時協助洗車。
5.必要時協助或負責販售附產品商品價格於櫃臺的收銀機或銷售時點系統，以進行現金、信用卡、電子現金卡、儲值卡、禮券、折價券、提貨券等收費。
2.開立統一發票交付顧客。
3.開關收銀機、電腦終端機。
4.清點收銀機金額。
5.分類各種收費清單、交易憑證。",台南市,26400,26400,不拘,,不拘,,,,,
0,冰火菠蘿 台南市學甲/下營/佳里/麻豆 店長/儲備店長,台湾BOLO冰火菠蘿_盛蒼企業有限公司,2023/02/01,"1.依照SOP發酵、烘烤麵包。
2.飲料製作。
3.店面清潔。
4.銷售、結帳、庫存管理等。

※無烘培經驗可，公司有完整培訓制度及作業流程
※受訓過後需至外縣市分店實習兩週，實習期間提供宿舍",台南市,60000,150000,3年以上,,高中以上,,,,,"1.需至新北蘆洲受訓2週（提供宿舍），提供訓練津貼，考核通過後至店面實習即依營業額抽成獎金。
2.有意投入店面經營、願意接受培訓、有企圖心挑戰高薪、有毅力及責任感。"
0,鋁門窗技術員、包裝員,喜美鋁業有限公司,2023/02/04,"金屬建材架構人員
工作內容：測量、定位、組裝
1.氣密鋁門窗製造加工安裝
2.氣密鋁門窗製作成品安裝 
3.安裝五金配件

作業員/包裝員
1.成品包裝


",台南市,26400,35000,不拘,,不拘,,,,,
0,藥局助理,世酆藥局,2023/02/03,"藥局主要以慢性病處方箋領藥、診所處方、及中藥調劑販售業務為主。
以解決各種疑難雜症為主旨

主要工作內容:
1.負責介紹及銷售門市商品，無業績壓力。
2.提供顧客之接待與需求服務（如：調貨、修改、及退換貨處理）。
3.維持店櫃週遭之整潔。 
4.協助病患領藥。
5.醫療相關事項諮詢。(如：用藥安全、產品使用方式。)

會大量使用到電腦鍵盤，以電腦能力佳、會念英文單字為優先考量

工作地點： 
台南市學甲區成功路11-1號 
 
需配合輪班。 
月休8天(周日固定休全天)
每次排班以4週為單位，週日為休假日，另外4天為例假日
國定假日、特休可排假

薪資前3月為基本工資，正式上手後，依照工作能力及工作內容逐步加薪。
住附近，或自備機車交通工具者佳 
無業績壓力
歡迎對醫療有工作熱誠或學習熱誠者加入!",台南市,26400,32000,1年以上,,專科、大學、碩士,,,,"客訴案件處理, 櫃檯門市接待與需求服務, 產品介紹及解說銷售",
