,job_name,cust_name,appear_date,job_detail,address_area,salary_min,salary_max,work_exp,major,edu,language,localLanguage,specialty,skill,other
0,電商網路企劃行銷助理,愛兔比咖啡企業,2023/02/04,"1.粉絲頁內容、服務及活動，並定期更新、維護及管理。
2.購物系統連結~具美編修圖與文案撰寫能力~網站含文案、修圖、系統行銷。
3.社群相關內容之經營(粉專貼文推廣、版面維護、直播企劃…等相關工作)虛擬、實體行銷規劃與執行。
4.店商平台上架、熟悉各大通路平台。
5.具備網路電商行銷、有自信有抱負~肯追求業務成長、外加業績抽成獎金。

",台南市,27000,9999999,1年以上,,高中以上,,,"Adobe Photoshop, Illustrator","品牌行銷管理, 提案與簡報技巧, 行銷策略擬定, 品牌知名度推廣, 社群媒體經營管理, 廣告企劃案╱文案撰寫, 電腦繪圖軟體操作","1.具電子商務經驗者佳
2.外縣市可供住宿
3.請附上作品集
4.薪資條件可依實際經驗再面談"
0,3c手機配件門市銷售人員(白河),愛來客手機配件,2023/01/31,"3c 手機配件 徵的就是你

1.無經驗可，有經驗者佳

2.挑戰高額獎金，獎金無上限 

3.不定時聚餐

4.完整專業的技術指導

5.工作環境佳，同事氣氛好


工作內容｜門市接待 / 產品介紹 / 3C週邊服務
                  基本環境整潔 / 商品陳列及庫存管理


歡迎社會新鮮人/想學技術銷售/想挑戰高薪

歡迎您加入我們",台南市,26400,9999999,不拘,,不拘,中文:聽 /精通、說 /精通、讀 /精通、寫 /精通,,,"業績目標分配與績效達成, 櫃檯門市接待與需求服務, 產品介紹及解說銷售",需支援各店調貨與配班
0,71.門市營業人員(台南市白河區),大同綜合訊電股份有限公司,2023/01/31,"1. 介紹及銷售家電商品
2. 顧客接待與諮詢服務 
3. 門市商品陳列設計
4. 配合門市營業時間排班排休
※儲備期間為固定薪，待正式派任後，薪資為變動薪(依業績表現)",台南市,28000,40000,1年以上,,高中、專科、大學,,,,,歡迎二度就業
0,遠傳電信 台南白河店門市人員 / 歡迎挑戰高薪,全虹企業股份有限公司,2023/01/30,"1. 各項電信相關產品銷售與服務
2. 店務處理, 如商品管理, 現金管理, 庫存管理等
3. 門市緊急事件處理
※ 保障業績獎金2個月
※ 具電信經驗者另有加給",台南市,30900,40000,1年以上,,高中、專科、大學,,台語:略懂,,,
0,門市-新白河店(台南市白河區)服務專員,燦坤實業股份有限公司,2023/01/29,"1.顧客服務:
 (1) 商品販售，提供顧客商品諮詢。
(2) 提供售後服務、傾聽顧客意見。
(3) 協助商品庫存查詢、結帳、包裝。
2.商品管理:
 (1) 負責商品進出貨、銷售管理及庫存管理。
(2) 負責商品陳列及檔期換檔作業。
3.形象維護:
 (1) 維持門店清潔與管理，創造優質購物空間。
(2) 創新商品陳列方式，展現門店特色。 ",台南市,26400,50000,不拘,,高中以上,,,,,"1.若為在校生，時間上無法配合上班，請投遞兼職人員職缺。
2.具服務熱忱、熱情活潑喜歡與人接近互動者尤佳
3.可配合排班需求。 "
0,行銷專員,一群農夫/將軍山農場_臺南市一群農夫農業發展協會,2023/01/14,"一群農夫/將軍山農場(教育+生產型農場)
粉絲專頁 https://www.facebook.com/wei0975969161

主要推廣食農教育、農村旅遊、農務體驗、農產品販售等

◆計畫執行及撰寫：
計畫執行、專案報告、食農教育講師接洽及培訓。

◆活動企劃與執行
每月活動主題規劃，接洽旅行社、學校、企業團體等規劃農場食農教育活動。

◆社群行銷
經營品牌FB粉絲專頁、IG、LINE官方帳號，規劃季節性線上活動

◆農產品行銷
電子商務通路平台經營，開創農產品通路等

",台南市,26400,45000,5年以上,,專科、大學、碩士,,,"Adobe Photoshop, Illustrator","品牌行銷管理, 社群媒體經營管理, 廣告企劃案╱文案撰寫","#人才培訓，未來主管。
#福利:有勞健保，有獎金制度，有年終獎金，達成年度目標另有加碼獎金。
#對農村及農業必有興趣者。
#工作態度佳
#居住車程20分鐘內涵蓋(台南市白河、東山、後壁、新營、鹽水、六甲、柳營，嘉義縣水上、中埔、鹿草、太保、朴子、六腳，嘉義市東、西區)。   
#農場可提供住宿。"
0,店員門市、咖啡師,愛兔比咖啡企業,2023/02/01,"1.對咖啡或茶飲製作有經驗者
2.熟悉電腦文書軟體
3.能早起6:30上班
",台南市,27000,30000,不拘,,高中以下、高中、專科、大學,,台語:中等,,"櫃檯門市接待與需求服務, 產品介紹及解說銷售, 飲料調製, 吧台前置作業準備, 門市餐飲管理",1.依照個人能力調整薪資
0,中班正職人員(台南市白河區),金玉堂文具批發廣場_樺陞文具圖書行,2023/02/01,需配合假日輪班,台南市,26400,9999999,不拘,,高中以上,,,,,
0,電商助理 /  需具一定美編能力,昇達國際行銷有限公司,2023/01/30,"1. 對電子商務領域有興趣者且對銷售有高度熱忱
    (有邏輯,有數字概念)

2. 具備一定程度美編能力
    (製作Banner圖,商品去背,拍攝,排版等基本能力)

3. 協助處理各購物平台的客戶訂單及上下架管理
    (MOMO購物網,PChome,奇摩購物中心,東森購物等通路)

4. 其他主管交代事項


歡迎對電商有相當熱誠的朋友,加入我們家庭

「獎金/禮品類」：年終獎金、三節禮金/禮品
「保險類」：勞保、健保、職災保險、勞工退休金提撥、員工團保(特定職位)
「其他」：每年定期健康檢查",台南市,28000,32000,不拘,,專科以上,,,"Excel, Internet Explorer, PowerPoint, Word, Adobe Photoshop, Illustrator",,
0,咖啡店員,仙湖農場_人與山旅宿,2023/01/30,"在山頂上的咖啡甜點店

工作內容：
1.前台點單結帳。
2.內場調飲，製作餐點。
3.庫存管理。
4.環境整理",台南市,30000,36000,不拘,,不拘,,,,,
0,廚房駐點經理(台南後壁廠),羅森餐飲規劃顧問股份有限公司,2023/02/01,"1.職安衛管理系統維護及運作
2.執行公司安全衛生督導及稽核
3.現場營運跟催進度/庫存管理
4.餐廳供餐時段服務/客服
5.環境稽核/食品安全管理
6.帳單整理，核對
7.人員出勤管理登錄
8.一般行政業務
9.負責食品衛生管理及教育訓練計劃之擬定與執行
10.協調品質管理之目標和活動，食品/食材登錄、食品驗收、SGS檢驗與稽查等
5.完成主管交辦事務

※※具餐飲經驗佳，具HACCP佳※※

",台南市,35000,40000,3年以上,,專科以上,,,"Excel, Word, HACCP","行政事務處理, 工廠管理能力, 食材成本控制, 團體膳食管理, 生產工作日誌建檔管理, 規劃與執行安全衛生教育訓練","【 要 求 】
1.三個月內省屬立醫院廚工健檢
2.需已完成COVID-19疫苗接種三劑
3.具HACCP佳
【 福 利】:
獎金福利：中秋節禮金、春酒。
保險福利：勞保、健保、定期員工體檢、勞退提撥金
休閒福利：員工旅遊"
0,行政助理,榮興碾米工廠,2023/01/30,"1. 負責一般文書資料處理及歸檔工作。
2. 辦理核銷事宜。
3. 協助處理庶務性行政工作（如：事務機器叫修維護、文具用品採買）。
4. 收發公文並處理會簽文件。
5. 負責簡單零用金管理。
6. 協助會議安排。
7. 負責外出送件、物件寄送及簡易銀行業務處理。
8. 負責接待訪客、準備會議室及茶水。
9. 協助訂購餐點。
10. 負責辦公室環境與設備之清潔與維護。
11. 支援其他部門業務（如：採購、業務、人事）。
",台南市,26500,30000,不拘,一般商業學類 文書管理相關 會計學相關,高中、專科、大學,,,"Excel, PowerPoint, Word, 中文打字50~75","行政事務處理, 財務報表製作, 結帳作業與帳務處理",
