,job_name,cust_name,appear_date,job_detail,address_area,salary_min,salary_max,work_exp,major,edu,language,localLanguage,specialty,skill,other
0,(南處)寵物門市銷售人員-關廟南雄店(月薪28K以上，獎金另計）,東森寵物雲股份有限公司,2023/01/29,"東森寵物目前為台灣大寵物實體連鎖通路，目前直營店120家店以上，為台灣最大直營寵物連鎖通路!! 
https://www.etipets.com/
https://shopping.etipets.com/

1.　寵物商品銷售與推薦建議
2.　提供顧客之接待與滿足顧客需求
3.　負責商品進貨入庫、銷售管理及庫存管理
4.　負責商品包裝、陳列及促銷品換檔工作
5.　依據SOP完成門市各項工作標準
6.　熱愛寵物
7.　個人單品銷售獎勵另計，平日加班與國定假日另計加班費
8.　願意配合公司新展店輪調",台南市,28000,40000,3年以上,,高中以上,,,,,具備機車駕照尤佳。
0,(南處)寵物美容師/美容助理-關廟南雄店(底薪最高40K),東森寵物雲股份有限公司,2023/02/04,"東森寵物目前為台灣大寵物實體連鎖通路，目前直營店120家店以上，為台灣最大直營寵物連鎖通路!! 
https://www.etipets.com/
https://shopping.etipets.com/

1　美容師必須有實際操作經驗，能獨立完成寵物身體清潔及修剪寵物毛髮。
2　能依寵物主人的需要，符合主人需求。
3　維持工作環境清潔整理。
4　具有合格的美容師KCT證照
5　配合公司活動及調店支援。
※月休8天(依行政院人事行政局公告調整休假天數)，加班與國定假日另計
※另有優渥業績獎金與輔導考照制度
※備機車駕照或汽車駕照
※上班時間9小時
",台南市,28000,40000,不拘,,高中以上,,,,,"1.喜愛與毛小孩相處. 對寵物有愛心及耐心。
2.想學習寵美技術者，有責任感。
"
0,總務人員,萬在工業股份有限公司,2023/01/31,"總務工程相關作業(具水電基礎概念及維修經驗佳)
公司資源維護
公務車管理
事務用品修繕維護
庶務請購,採購,驗收
固定資產管理及盤點
各項後勤支援
主管交辦事項

公司有良好的內部升遷管道，**歡迎有熱忱有潛力的你一起加入**",台南市,35000,40000,3年以上,,專科、大學,英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,,,,"善於溝通協調
"
0,※※ 輪班技術人員※※,大亞電線電纜股份有限公司,2023/01/31,"※完善培訓制度，歡迎有志人士加入！
【輪班津貼、生產獎金另計】


1.	負責生產設備之操作，並維持機台正常運作。
2.	進行製造現場的產品生產、檢驗等作業。 
3.	與其他作業員進行協調，以符合生產及程序標準。 
4.	填寫生產報表，以檢視生產的正確。 
5.	完成主管交辦有關生產產品、程序事宜。
",台南市,28000,33000,不拘,,高中、專科、大學,,台語:中等,,,"1.廠區場所內全面禁菸與檳榔
2.配合早、中、晚三班每周輪班
3.依學歷起薪
"
0,經營企劃室管理師(關廟，總管理處),大亞電線電纜股份有限公司,2023/01/31,"1.各事業群營運監督管理
2.各事業體目標覆核及建議、分析
3.集團策略規劃、覆核
4.專案規劃、財務分析
5.熟捻勞基法、公司法及金管會相關法令
6.完成上級交辦事宜",台南市,31900,43000,1年以上,財稅金融相關 會計學相關,大學、碩士,英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,,"Excel, PowerPoint, Word","核閱財務報表, 財務及營業分析, 財務金融與風險管理, 財務規劃與投資管理","1.具稽核經驗尤佳
2.海外關係企業如有人力需求，須配合借調(3年/任)，每3個月返台休假。"
0,乙級勞工安全衛生管理員,萬在工業股份有限公司,2023/01/31,"1. 具乙級職業安全衛生管理員證照 (無證照者請勿投履歷)。
2. 具OHSAS18001認證經驗者(具ISO45000認證經驗尤佳)
3. 協助制訂企業政策定勞工安全衛生作業計畫。
4. 熟悉勞工安全衛生法規。
5. 建立勞工安全衛生作業流程、規章及表單或通報系統。
6. 定期檢查各項機具或環境之勞工安全衛生狀況。
7. 其他主管交辦事項。",台南市,0,0,不拘,,專科、大學、碩士,,,"Excel, Outlook, PowerPoint, Word","勞工安全相關法規, 執行安全衛生督導及稽核",
0,業務助理 (關廟，電通事業群),大亞電線電纜股份有限公司,2023/01/31,"※業務人員有完善培訓制度，歡迎有志人士加入！

1. 輸入、處理並追蹤客戶訂單，並將訂單資料整理。
2. 保持與客戶間之聯繫，回覆e-mail，並確認交貨期。
3. 提供出貨文件，協助業務人員控管出貨。
4. 定期提供業務銷售狀況報表，以供業務人員或主管參考。
5. 協助業務人員處理銷售業務相關之公司內部行政作業。
6. 協助業務人員整理客戶資料。
4. 上級交辦事宜。
",台南市,31900,37800,不拘,商業及管理學科類 語文及人文學科類,大學,,,"Excel, PowerPoint, Word","行政事務處理, 報表彙整與管理, 文件檔案資料處理、轉換及整合工作, 客戶資料更新維護",
0,品保工程師(關廟，漆包線事業群),大亞電線電纜股份有限公司,2023/01/31,"※公司備有完善培訓制度，歡迎有志人士加入！ 

1.統計製程品質監控、建立與維護
2.製程異常管理系統之管制
3.製程可靠度性鑑定與測試分析
4.客訴處理與回覆
5.品質稽核之執行
6.主管交辦事項
",台南市,31900,43000,不拘,,大學、碩士,英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,台語:中等,,,"1.依學歷起薪
2.海外關係企業如有人力需求，須配合借調(3年/任)。"
0,日文業務人員(關廟，漆包線事業群),大亞電線電纜股份有限公司,2023/01/31,"※業務人員有完善培訓制度，歡迎有志人士加入！

1.開發及維繫客戶
2.接單及議價
3.顧客服務
4.事務性工作
5.上級交辦事項
6.業績獎金另計",台南市,31900,43000,不拘,商業及管理學科類 工程學科類 語文及人文學科類,大學、碩士,"日文:聽 /精通、說 /精通、讀 /精通、寫 /精通, 英文:聽 /中等、說 /中等、讀 /中等、寫 /中等",,,"業務或通路開發, 客戶情報蒐集, 產品介紹及解說銷售","1.依學歷起薪
2.需具有日文語言證照
3.海外關係企業如有人力需求，須配合借調(3年/任)。"
0,研發工程師(關廟，漆包線事業群),大亞電線電纜股份有限公司,2023/01/31,"※公司備有完善培訓制度，歡迎有志人士加入！

1.工業4.0 相關數據的統計及分析
2.樣品測試分析
3.漆線、押出製程工作
4.專案開發
5.機台安裝等現場工作
6.上級交辦事項",台南市,31900,43000,不拘,電機電子工程相關 機械工程相關 資訊工程相關,大學、碩士,,台語:中等,,,"1.依學歷起薪
2.無經驗亦可
3.檢附語言證照尤佳 
4.海外關係企業如有人力需求，須配合借調(3年/任)。"
0,成本會計管理師(關廟，總管理處),大亞電線電纜股份有限公司,2023/01/31,"※有完善培訓制度，歡迎有志人士加入！

1.帳務處理.傳票切立、整理彙總及成本結算。
2.年度預算及合併報表資料蒐集及編製。
3.管理性報表之編製及分析。
4.配合會計師查核需要，提供資料。
5.財務資訊之公告。
6.主管交辦事項。
",台南市,31900,43000,3年以上,,大學、碩士,英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,,,"財務報表製作, 財務報表分析, 結帳作業與帳務處理, 會計核算和帳務處理","1.依學歷起薪
2.具相關相關經驗2年以上
3.具語言證照尤佳
4.海外關係企業如有人力需求，須配合借調(3年/任)，每3個月返台休假。
"
0,輪班品保檢驗工程師(關廟，漆線事業群),大亞電線電纜股份有限公司,2023/01/31,"※公司備有完善培訓制度，無經驗可，歡迎有志人士加入！ 
   【輪班津貼、生產獎金另計】

1.產品檢驗測試
2.協助品質管理相關作業
3.上級交辦事項。
",台南市,31900,37800,不拘,電機電子工程相關 機械維護相關,大學,,,,,
0,海外行銷業務管理師(漆包線事業群),大亞電線電纜股份有限公司,2023/01/31,"1.當地(印度)客戶拜訪與產品推廣。
2.重點產品推廣與提高品牌佔有率。
3.國外客戶接待與拜訪。
4.市場競爭資訊的取得。 
5.樣品/量產異常處理。
6.掌握市場最新訊息與競爭優勢，評估市場需求潛在機會	
7.市場銷售策略擬定與執行
8.跨部門溝通及合作
1.Visit local( India) customers and promote products.
2.Promote key products and enhance company’s reputation.
3.Arranging reception and visit for foreign clients.
4.Obtaining key information of competitors
5.Managing samples and mass production issues
6.Stay on top of latest market information and competitive advantages and also 
    evaluate potential opportunities to meet market requirements.
7.Work on a marketing strategies.    
8.Skill at inter-department communication and cooperation.
",台南市,31900,43000,1年以上,,大學、碩士,"英文:聽 /精通、說 /精通、讀 /精通、寫 /精通, 中文:聽 /中等、說 /中等、讀 /中等、寫 /中等",,,,"1.語文—通過華語文能力測驗Ｂ級者
   Special capacities: B level Test of Chinese as a Foreign Language(TOCFL).
2.須配合海外派駐，派駐點：印度
   Designated expat working place: India"
0,設備維護工程師(關廟，漆包線事業群),大亞電線電纜股份有限公司,2023/01/31,"※完善培訓制度，歡迎有志人士加入！
※每月另有績效獎金
※假日不定期配合加班
                      
1.故障查修。
2.機械拆修。
3.電焊作業。
4.物料請購與故障品送修。
5.物料備品管理、記錄。
6.有廠務設備維護經驗尤佳",台南市,34000,45000,不拘,電機電子維護相關,大學、碩士,英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,台語:中等,"Excel, Word","配電裝修維護, 電機設備保養修護","1.具經驗者尤佳

"
0,採購專員,萬在工業股份有限公司,2023/01/30,"1.供應商開發-外購商品、零件
2.Cost down專案執行
3.採購成本低減策略
4.成本分析
5.原料需求預測

公司有良好的內部升遷管道，**歡迎有熱忱有潛力的你一起加入**",台南市,0,0,2年以上,,專科、大學、碩士,"英文:聽 /中等、說 /中等、讀 /中等、寫 /中等, 日文:聽 /中等、說 /中等、讀 /中等、寫 /中等",,"Excel, Outlook, Word, Oracle ERP","供應商尋找及評選執行, 庶務採購管理與策略規劃, 採購談判與議價技巧, 商品採購作業","1.熟模檢治具發包尤佳
2.具視圖能力

"
0,Account Manager-國外業務,萬在工業股份有限公司,2023/01/30,"1.負責區域業務接洽維護及開發新客戶
2.定期報告銷售進度並隨時掌握公司產品市場佔有率 
3.針對客戶提出的條件、交期、品質、售後服務等作成評估報告，並在必要時協調相關部門資源，即時回應客戶需求 
4.掌握產品設計時程及產量狀況 
5.參加國際性展覽並規劃各項事宜

公司有良好的內部升遷管道，**歡迎有熱忱有潛力的你一起加入**",台南市,0,0,3年以上,市場行銷相關 國際貿易相關 英美語文相關,大學以上,"英文:聽 /精通、說 /精通、讀 /精通、寫 /精通, 中文:聽 /精通、說 /精通、讀 /精通、寫 /精通",台語:略懂,,"國外業務開發, 業務或通路開發","1. 三年以上行銷、業務、展業相關工作經驗，具汽機車零組件產業經驗尤佳 
2. 英文程度至少TOEIC 800分以上或同等 
3. 有oversea業務經驗，可配合國外出差者 
4. 親和力及應對能力強, 自信可獨立作業 
"
0,機台技術員【含加班費】,萬在工業股份有限公司,2023/01/30,"1.機台操作具經驗者優先取
2.生產報表填寫。
3.產品品質檢查。
4.工作區域整潔維持
5.表現良好者依考核，薪資再調升


另有生產獎金、機台操作津貼
加班二小時提供免費餐點

公司有良好的內部升遷管道，**歡迎有熱忱有潛力的你一起加入**",台南市,30000,35000,不拘,,高中以下、高中、專科、大學,,,,,
0,製造部課長,萬在工業股份有限公司,2023/01/30,"1.管控製造部門之生產排程、交期及產量。
2.產線作業之規劃與管理，以提升產能、良率，降低成本。
3.有效整合資源，以達成年度設定之指標。
4.人員督導及教育訓練
5.執行跨部門的協調溝通。

公司有良好的內部升遷管道，**歡迎有熱忱有潛力的你一起加入**",台南市,0,0,5年以上,,專科、大學、碩士,,,"Excel, Outlook, PowerPoint, Word, Oracle ERP",,"具製造業相關產線管理經驗佳
需具備溝通協調能力
"
0,作業員【含加班費】,萬在工業股份有限公司,2023/01/30,"1.簡易機台操作及組裝/包裝。
2.生產報表填寫。
3.產品品質檢查。
4.工作區域整潔維持。
5.表現良好者依考核，薪資再調升

依公司需求分配所屬工作站
通過檢定者另有津貼
可配合加班者佳
《無經驗肯學習可》

加班二小時提供免費餐點

公司有良好的內部升遷管道，**歡迎有熱忱有潛力的你一起加入**",台南市,28000,33000,不拘,,不拘,,,,,有意願學習者佳
0,遠傳電信 台南關廟店門市人員 / 歡迎挑戰高薪,全虹企業股份有限公司,2023/01/30,"1. 各項電信相關產品銷售與服務
2. 店務處理, 如商品管理, 現金管理, 庫存管理等
3. 門市緊急事件處理
※ 保障業績獎金2個月
※ 具電信經驗者另有加給",台南市,30900,40000,1年以上,,高中、專科、大學,英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,台語:略懂,,,
0,品保工程師/客服工程師,萬在工業股份有限公司,2023/01/30,"<<品保工程師>>
1.製程巡檢/抽檢/稽核
2.供應商樣品檢驗
3.檢驗數據統計分析
4.製程品質處理及出貨放行判定
5.每日品情回報
6.執行主管交辦事項

<<客服工程師>>
1.處理並改善客戶遇到的異常狀況，
2.客訴不良品分析
3.返回品分析和處理
4. 客訴對策效果追踨
5.執行主管交辦事項

**有經驗者薪資可談**

公司有良好的內部升遷管道，**歡迎有熱忱有潛力的你一起加入**",台南市,32000,40000,2年以上,機械工程相關 測量工程相關,專科、大學、碩士,英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,,"Excel, PowerPoint, Word","提出生產標準改良方案, 制訂新產品檢驗標準, 原料及產品品質管制監控, 新產品與進出貨檢驗, 供應商原物料異常分析處理","有以下證照加分
品質管理師(CQM)
品質工程師(CQE)
品質技術師(CQT)
可靠度工程師(CRE)

"
0,國外業務管理師,萬在工業股份有限公司,2023/01/30,"1、協助國外Account Manager開發業務及國外訂單處理等back-end support
2、跨部門新產品開發與VAVE及產銷協調整合
3、Oracle作業運作及銷售整理分析
4、上級交辦事項

公司有良好的內部升遷管道，**歡迎有熱忱有潛力的你一起加入**",台南市,36000,50000,1年以上,一般商業學類 資訊管理相關,專科、大學,英文:聽 /精通、說 /精通、讀 /精通、寫 /精通,,,,"1、具備OFFICE系統操作能力
2、對數字具敏銳度佳
3、文件資料編撰與分析整理
"
0,生管課長,萬在工業股份有限公司,2023/01/30,"1. 預測銷售量並擬定生產計畫。
2. 規劃生產排程並評估人力、機器設備、零件原物料之需求。
3. 提出有關現存的品質或生產標準方面的修改建議。
4. 排程管制差異對策分析及交期管控與改善。
5.負責跨部門產銷協調。
6.生管管理實務三年以上。


公司有良好的內部升遷管道，**歡迎有熱忱有潛力的你一起加入**
",台南市,0,0,5年以上,工業工程相關,專科、大學、碩士,英文:聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,,,"安排出貨管理及統計, 開立工單及生產交期管理, 達成產能及出貨目標, 維持產線正常運轉並跟催生產進度","正向積極/善於溝通協調
"
