,job_name,cust_name,appear_date,job_detail,address_area,salary_min,salary_max,work_exp,major,edu,language,localLanguage,specialty,skill,other
0,研發部-文管工程師,慶豐富實業股份有限公司,2023/02/03,"1. Solidworks 3D圖檔整理，彙整。
2. PDM系統圖檔電子化流程維護設定。

",彰化縣,30000,9999999,1年以上,,專科、大學、碩士,,,"Excel, Outlook, PowerPoint, Word",,"1.具Solidworks 繪圖相關經驗
2.邏輯清晰有耐心且願意學習者為佳

"
0,倉管人員,幸康電子股份有限公司,2023/02/02,"1.成品理貨、物料收發、棧板疊貨。
2.能荷重單箱20公斤物料搬運


",彰化縣,27000,28000,3年以上,,高中以上,,,鼎新,"商品進貨入庫作業, 倉庫貨物標示╱置放╱盤點, 貨品包裝作業, 商品收貨╱退貨作業, 理貨╱揀貨╱補貨作業",※需配合加班(平日加班一周約5h/1個月約20h)(周六加班一周約6H~8H)(加班費另計)。
0,Production Controller,新加坡商捷彩有限公司,2023/02/02,"Job description:
•	Develop and execute production plan including machine, men & material considerations to support our supply, and responsible for input, output & supply plan 
•	Closely monitor changes including capacity, demand, lead time and yield. And provide simulations to give insights to production trends 
•	Lead daily production meetings to give highlight, lowlight. Drive each issue owner to provide a clear, logical 1 pager to explain issue & action plans in fast paces
•	Familiar with different production simulations with multiple factors 
•	Experience with cross-functional leadership
•	Ability to drive and deliver strategic capacity plans and initiatives 
•	Ability to work cross-functionally in an ambiguous environment 
•	Effective analytical capabilities and problem-solving skills 
•	Productivity improvement (labor hour reduction, Kanban project)
•	Ability to speak and write in Mandarin and English fluently

Job description:
•	Develop and execute production plan including machine, men & material considerations to support our supply, and responsible for input, output & supply plan 
•	Closely monitor changes including capacity, demand, lead time and yield. And provide simulations to give insights to production trends 
•	Lead daily production meetings to give highlight, lowlight. Drive each issue owner to provide a clear, logical 1 pager to explain issue & action plans in fast paces
•	Familiar with different production simulations with multiple factors 
•	Experience with cross-functional leadership
•	Ability to drive and deliver strategic capacity plans and initiatives 
•	Ability to work cross-functionally in an ambiguous environment 
•	Effective analytical capabilities and problem-solving skills 
•	Productivity improvement (labor hour reduction, Kanban project)
•	Ability to speak and write in Mandarin and English fluently

Personal characteristics：
•	Productivity improvement (labor hour reduction, Kanban project)
•	Ability to speak and write in Mandarin and English fluently
•	Interpersonal abilities to work with all levels of the organization.
•	Ability to work both independently and as part of a team.
•	Proven ability to rapidly grasp new technical concepts and find innovative solutions to challenging engineering problems.
•	Good time management and priority management.
•	Good knowledge sharing player.

Key Skills
•	Excellent communication and organizational skill
•	Process characterization and development
•	SPC, QC 7 tools, Cpk, FMEA.
•	DOE
•	Knowledge of statistical software tool-JMP
•	Knowledge of read technical drawing
•	Experiences in following areas are plus
•	SQL and Excel Power Query
•	Printing industrial working experiences.
•	Tool /Jig design
•	Project management

Other Skills
•	Pleasant work attitude and strong interpersonal skills. 
•	Ability to work with external organizations across wide range of functions.
",彰化縣,0,0,5年以上,,專科、大學,英文:聽 /精通、說 /中等、讀 /中等、寫 /中等,,,,
0,AC/DC電源研發工程師_新產品開發【RD1】,幸康電子股份有限公司,2023/02/02,"幸康研發主管 獲選 111年「中部地區傑出經理獎選拔」！展現團隊研發實力！ 
詳見影片：https://www.youtube.com/watch?v=nPfx27d484A

✷✷~幸康提供優於法令【有薪防疫照顧假】，當子女因疫情停課時讓您方便照顧~✷✷
✹✹~幸康提供優於法令【有薪家庭照顧假】，在您遇到突發狀況時安心照顧家人~✹✹
☀☀~幸康提供免費員工專用停車場(限彰化廠)，讓您沒有上班找車位的困擾~☀☀
$$$~幸康提供求職者面試交通津貼，因為我們認為照顧員工要從求職這一刻就開始~$$
❤❤~我們還有更多員工福利措施，歡迎送出您的應徵履歷加入幸康~❤❤

研發工程師的主要工作內容 : 
1. AC/DC 新產品研發設計&測試
2. Adapter新產品研發設計&測試
3. 產品安規相關申請、測試報告撰寫與維護
4. 支援產線異常電源電路問題解決與分析。
5. 支援客戶解決技術問題及相關技術服務。
6. 支援部門公共事務項目


➥【加分條件】⮯
1.曾任電源開發相關三年以上工作經驗者尤佳。
2.具電力電子相關技能專長者尤佳。",彰化縣,0,0,3年以上,電機電子維護相關 電機電子工程相關,大學、碩士,英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,,"Cadence Allegro, OrCAD, Protel","新產品研發與測試, 電路板佈局規劃, 開發電子電路系統, 電子電路設計",
0,倉管助理,興昌漁行,2023/02/02,"需進出冷藏庫、冷凍庫管理
收貨：

依照採購所採買的採購清單清點來貨品名、數量、規格、種類…等進行收貨，收貨完後放置暫存倉，待相關人員驗收後方可入倉，若有資訊不對的情況，馬上知會相關人員，決定是否允收或退貨處理。　

理貨：

理貨有二，一是針對廠內生產需求進行理貨提供現場使用，二是針對業務客戶依照出貨清單進行理貨整理，所以生產理貨就盡可能就是在前一天下班前整理完畢，但也是會有當天突發領料的狀況，所以要很清楚知道貨品放置在哪裡，這樣子出貨才會快速，而客戶出貨理貨有些可以前一天整理，有些也是會在當天整理出貨，前一天整理的就是隔天早上會出貨的，而當天理貨的就可能是下午會出貨，而這些時間就是檢整貨品，核對清單、數量。　

出貨：

上述理貨完成後就是等待客戶或貨運公司來取貨，互相核對正確商品及數量後，由倉管員協助上車，而大多倉管員也需要會駕駛堆高機，所以堆高機證照是必要的，貨量多的話，不可能一箱一箱搬運，一定是堆棧板，使用堆高機將貨品上車，故使用堆高機時一定得注意使用上的安全及避免讓貨品受損。　

管理：

倉庫管理也是一門學問，比如先進先出，最早進來的貨品要先出貨，以免造成新的出完了，舊的還留著；庫內整理，維持走道流通，商品標示有無正確，數量確認...等，而管理倉庫最重要的事情就是盤點，通常是月盤點，每個月依照電腦清單，人工清點數量，以校正正確庫存量，庫內有所謂的不成箱的商品，快逾期的商品，退貨的商品，半成品及成品，依照種類一一清點，人手充足的話通常是採月盤點居多，季盤點的話時間拉長，問題也比較不容易發現，所以較不建議。　

而倉庫若被稽核時，難免會有缺失會出現，以下就列舉幾項給大家參考：

良品與不良品分開

良品與不良品分開存放，這是最基本的也是客戶每次稽核的重點，因為客戶一定不希望他花錢買的材料，好品與不好品有混再一起生產的風險。

待驗與檢驗完成品分開

如果把未檢驗的產品與檢驗完成的產品存放在一起，若倉管員誤發了未檢驗的材料給產線生產，若該批材料品質剛好沒問題，這樣就沒事，若是該批材料有嚴重的品質問題，生產出來的成品，可能特性功能或耐久度都會因此而受影響

而客戶來稽核時必稽的項目，是品質檢驗的相關作業，所以通常都會詢問待檢驗的產品倉庫存放在哪一個位置，若客戶發現待檢驗與檢驗完成的產品放在一起，這時候被稽核缺失的機率就會很高，所以代驗檢的產品與檢驗完成的產品務必要分開存放，第一可以降低倉庫將未檢驗的產品發出，第二客戶稽核時，不會讓客戶有諸多的想法。

先進先出的管理方式

若倉庫端對於材料沒有先進先出進行發料或出貨，就會有新舊料混著使用或出貨的情形，這樣對於產品的品質或多或少會有影響，且品質可能因為新舊料混用的關係，造成品質不穩定，所以倉庫端對於材料的先進先出管制得宜，對於客人產品的品質也是一種保障，故倉庫端對於先進先出務必要有一套管理模式，才可讓公司的材料的新鮮度可以維持一定的水準之上。

過期品如何控管

若所管理的倉庫大到一定的空間，要管理真的要花心思，空間大相對放的材料就會多，而這些材料內是否含有已經過期的材料呢?身為管理者的你要如何進行過期品的掌控?這也是客戶會稽核的項目之一

掌控過期品可以從三個方面進行著手

1.若公司系統上面可以針對過期品進行報表確認的話，這樣可以每週甚至每天，透過報表進行過期品的篩選。

2.透過倉管員發料時進行確認，請倉管員確認目前所撿的材料整批是否有過期品的存在，若有立即進行後續移轉或轉庫等相關作業。

3.定期如每週或每月針對所有的產品進行確認。

對於濕氣較敏感的材料識別與防護

若客戶產品上的材料，對於靜電或濕氣很敏感的，客戶針對這一點會進行稽核，所以身為倉庫管理者的你，一定要對於自己管理的材料，是否有這些特殊性進行了解，而不是等到客戶來稽核，你才恍然大悟的明白，這時就會被記缺失了。而倉庫端要如何進行這些控管呢?可參考以下資訊

1.對於怕靜電的材料，若倉庫端需要分裝時，倉庫端要設立專屬作業區與工具，如作業人員作業時要戴上防靜電手套、靜電環，防靜電拖鞋、並接上接地線，桌面放置除靜電離子風扇、設置人體除靜電的平台，嚴格一點所有運送的台車，都要裝上鐵鍊並與地面接觸，設計除靜電登記表，每次作業前需進行人體除靜電，並於登記表上登記。

2.對於濕氣有要求的材料，需放置於防潮櫃或獨立設置的低濕倉庫進行存放，並設置溫溼度監控儀器，如毛髮溫溼度紀錄器，電子式溫溼度記錄器等，並每天定期巡視是否有超過材料所要求的範圍，客人會詢問，若超過範圍時，倉庫人員要如何處理等問題，這就要依每家公司的處理方式進行。

具可燃性、腐蝕性、有毒性或需要特殊管控的材料，進行管控或隔離

有些客戶對於供應商的工作環境會特別注意，如具可燃性、腐蝕性、有毒性或需要特殊管控的材料，會詢問如何進行控管，這邊提出幾個建議給各位參考

1.針對這些需特殊管控的材料，設立獨立的戶外空間進行存放。

2.保管的空間內，要設置防爆風扇、防爆燈管、防洩漏警報器。

3.需有受過相關教育訓練的人員，才可進行收發料作業。

4.準備這些材料的SDS，並定期更新，且放置於易拿取處，以利緊急狀況時使用。

5.設置緊急處理的工具箱(櫃)，裡面放置防毒面具、未過期的濾毒罐、符合規定的防護衣、手套、頭盔、滅火器、吸液棉等相關器具，並設立點檢表，定期巡檢，確保設備的完整性，以供緊急狀況使用。",彰化縣,28000,40000,不拘,,不拘,,,,,需會開手排小貨車
0,DC/DC電源研發工程師/助理工程師_客製品專案開發【RD3】,幸康電子股份有限公司,2023/02/02,"幸康研發主管 獲選 111年「中部地區傑出經理獎選拔」！展現團隊研發實力！ 
詳見影片：https://www.youtube.com/watch?v=nPfx27d484A

✿✿~幸康提供優於法令【有薪防疫照顧假】，當子女因疫情停課時讓您方便照顧~✿✿
◈◈~幸康提供優於法令【有薪家庭照顧假】，在您遇到突發狀況時安心照顧家人~◈◈
✤✤~幸康提供免費員工專用停車場(限彰化廠)，讓您沒有上班找車位的困擾~✤✤
ઈ~幸康提供求職者面試交通津貼，因為我們認為照顧員工要從求職這一刻就開始~ઉ
✎~我們還有更多員工福利措施，歡迎送出您的應徵履歷加入幸康~✐



DC/DC電源研發工程師/助理工程師_客製品專案開發【RD3】 主要工作內容：

1. DC/DC客製品專案開發設計&測試 。
2. OEM客製產品設計開發&測試。
3. 產品安規相關申請、測試報告撰寫與維護。
4. 支援產線異常電源電路問題解決與分析，並協助導入量產。
5. 支援客戶解決技術問題及相關技術服務。
6. 支援部門公共事務項目。
",彰化縣,35000,9999999,不拘,電機電子工程相關,大學、碩士,英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,,,"新產品研發與測試, 開發電子電路系統, 電子電路設計, 電源供應器設計",
0,引擎技師-鹿港廠,匯聯汽車股份有限公司,2023/02/02,"✽車輛定期保養。
✽車輛問題診斷與查修。
✽提供車主車輛保修建議，提升行車安全及銷售促進。
✽維修品質確保及修後關懷。
✽完成日產正規技術訓練與專業認證(車輛底盤、引擎相關機件、車輛電腦與電子儀器相關)。

工作待遇：
✽薪資(固定薪+獎金，平均薪資水準達4萬~以上)
✽證照獎金(通過公司考證)
✽年度績優人員獎勵旅遊",彰化縣,35000,50000,1年以上,汽車汽修相關 電機電子維護相關 機械維護相關,專科、大學,,,,"汽車定期保養作業, 汽車引擎機件檢查及修護, 汽車底盤修護, 汽車電系修護","✽匯聯汽車為NISSAN日產汽車於彰化、雲林、嘉義代理經銷商，提供完整車輛售後服務。每一位同仁依職務屬性量身打造完整專業技術訓練，並依專業職能規劃初階、進階、管理等職能培訓課程及認證。
✽有心朝向管理職務發展者，未來可從技師職務、邁向廠技師長、總技師長，或管理千萬大廠廠長發展。若未來因職涯規劃不同，也可以朝向售後服務體系管理階層發展。
✽除了匯聯汽車在專業職能培訓上，後續也會安排至NISSAN台灣總公司進行更專業培訓。若有意願者，未來也有機會安排至國外參加競賽，與國外高手一同競技。(台灣已獲得多次日產全球冠車)
✽這是一份有前瞻性且穩定性高的工作，只要您對汽車產業有興趣者，隨時可致電詢問。歡迎有志者一同加入NISSAN大家庭。"
0,網路行銷/電子商務人員/網拍行銷人員,高僑工業股份有限公司,2023/02/01,"工作內容  
1. 每日訂單流程作業
2. 各大購物網站的後台操作
3. 平台與ERP系統整合能力( Excel表格操作 )。
4. 與各平台PM洽談活動事宜。
5. 具網路行銷、社群經營、部落格行銷經驗者佳.。
6. 具網路行銷創意思考，熟悉網路操作，能獨立作業。
7. 具專案規劃與執行能力、數字分析能力。
8. 積極負責、具溝通協調能力。
9. 主管交辦事宜或跨部門後勤支援。
其他條件：需具備良好的溝通能力與工作熱枕。

※ 請先投遞線上履歷，合格者會通知面試 ※",彰化縣,30000,45000,1年以上,,高中以上,,,"Adobe Photoshop, Illustrator",,需有設計軟體基礎
0,網路行銷/電子商務人員/社群行銷/品牌行銷,高僑工業股份有限公司,2023/02/01,"1.平台例行出單、出貨、客戶問題回復 
2.FB 、Line@、關鍵字投放，建立品牌形象
3.熟網路購物通路操作, 具實際操作網購之經驗者佳。 
4.規劃網路活動內容、產品定期更新、維護及管理。 
5.負責電子報、EDM及各種宣傳文案的設計、製作與發送。 
6. 具網路行銷、社群經營、部落格行銷經驗者佳. 
7. 具網路行銷創意思考，熟悉網路操作，能獨立作業。 
8. 具專案規劃與執行能力、數字分析能力。 
9. 積極負責、具溝通協調能力 
10. 主管交辦事宜或部門後勤支援 

其他條件：需具備良好的溝通能力與工作熱枕  

※ 請先投遞線上履歷，合格者會通知面試 ※",彰化縣,30000,35000,不拘,,不拘,,,,,
0,生產技術作業人員,幸康電子股份有限公司,2023/02/01,"主要工作內容 
✎電子零件手焊~測試~包裝作業。
✎生產製程換線輔助，維持開線準時。
✎生產設備點檢、保養，維持U-Line正常運轉。
✎生產異常數據分析、維修、改善。

【其他條件】
➽需配合夜間與假日加班。
➽工作環境屬冷氣房站立作業。




",彰化縣,27000,9999999,不拘,,專科、大學,,,,,
